"model","Q50","Q5.5","Q94.5","Q2.5","Q97.5","performance","data"
"model1",0.853658536585366,0.813008130081301,0.898373983739837,0.796747967479675,0.90650406504065,"sensitivity","training"
"model2",0.861788617886179,0.817073170731707,0.902439024390244,0.804878048780488,0.910569105691057,"sensitivity","training"
"model3",0.865853658536585,0.817073170731707,0.90650406504065,0.808943089430894,0.914634146341463,"sensitivity","training"
"model4",0.865853658536585,0.82520325203252,0.902439024390244,0.813008130081301,0.910569105691057,"sensitivity","training"
"model5",0.865853658536585,0.82520325203252,0.902439024390244,0.813008130081301,0.910569105691057,"sensitivity","training"
"model6",0.865853658536585,0.821138211382114,0.90650406504065,0.808943089430894,0.910670731707316,"sensitivity","training"
"model7",0.865853658536585,0.82520325203252,0.902439024390244,0.813008130081301,0.910670731707316,"sensitivity","training"
"model8",0.865853658536585,0.821138211382114,0.90650406504065,0.808943089430894,0.914634146341463,"sensitivity","training"
"model9",0.869918699186992,0.82520325203252,0.90650406504065,0.813008130081301,0.91869918699187,"sensitivity","training"
"ref",0.865853658536585,0.817073170731707,0.90650406504065,0.804878048780488,0.914634146341463,"sensitivity","training"
"model1",0.28,0.18,0.4,0.16,0.42,"specificity","training"
"model2",0.3,0.2,0.44,0.18,0.46,"specificity","training"
"model3",0.32,0.22,0.44,0.2,0.48,"specificity","training"
"model4",0.34,0.22,0.46,0.2,0.5,"specificity","training"
"model5",0.34,0.24,0.48,0.2,0.5,"specificity","training"
"model6",0.34,0.2389,0.46,0.2,0.5,"specificity","training"
"model7",0.34,0.24,0.46,0.2,0.48,"specificity","training"
"model8",0.34,0.22,0.46,0.2,0.5,"specificity","training"
"model9",0.36,0.24,0.48,0.22,0.5,"specificity","training"
"ref",0.34,0.22,0.46,0.2,0.48,"specificity","training"
"model1",0.745853658536585,0.745853658536585,0.745853658536585,0.745853658536585,0.745853658536585,"auc","training"
"model2",0.800162601626016,0.725040650406504,0.800162601626016,0.716260162601626,0.800162601626016,"auc","training"
"model3",0.814105691056911,0.788333333333333,0.816869918699187,0.774024390243902,0.817195121951219,"auc","training"
"model4",0.818821138211382,0.793125609756098,0.829959349593496,0.780934959349594,0.83150406504065,"auc","training"
"model5",0.824552845528455,0.79584918699187,0.84130081300813,0.785772357723577,0.844308943089431,"auc","training"
"model6",0.826788617886179,0.798771544715447,0.845207723577236,0.788369918699187,0.848621951219512,"auc","training"
"model7",0.824756097560976,0.798328861788618,0.845492276422764,0.788168699186992,0.848579268292683,"auc","training"
"model8",0.826056910569106,0.794254878048781,0.848175203252032,0.784668699186992,0.851993902439024,"auc","training"
"model9",0.832560975609756,0.805971138211382,0.852971951219512,0.799063008130081,0.85695325203252,"auc","training"
"ref",0.820853658536585,0.789467073170732,0.843703658536585,0.778156504065041,0.848579268292683,"auc","training"
"model1",0.857142857142857,0.792207792207792,0.922077922077922,0.766233766233766,0.935064935064935,"sensitivity","testing"
"model2",0.87012987012987,0.805194805194805,0.922077922077922,0.779220779220779,0.935064935064935,"sensitivity","testing"
"model3",0.87012987012987,0.818181818181818,0.935064935064935,0.805194805194805,0.935064935064935,"sensitivity","testing"
"model4",0.87012987012987,0.805194805194805,0.922077922077922,0.792207792207792,0.935064935064935,"sensitivity","testing"
