"model","Q50","Q5.5","Q94.5","Q2.5","Q97.5","performance","data","outcome"
"model1",0.846153846153846,0.797570850202429,0.890688259109312,0.789473684210526,0.898785425101215,"sensitivity","training","STBBI"
"model2",0.850202429149798,0.801619433198381,0.894736842105263,0.793522267206478,0.902834008097166,"sensitivity","training","STBBI"
"model3",0.854251012145749,0.809716599190283,0.894736842105263,0.797570850202429,0.902834008097166,"sensitivity","training","STBBI"
"model4",0.8582995951417,0.809716599190283,0.894736842105263,0.801619433198381,0.902834008097166,"sensitivity","training","STBBI"
"model5",0.8582995951417,0.809716599190283,0.898785425101215,0.797570850202429,0.906882591093117,"sensitivity","training","STBBI"
"model6",0.854251012145749,0.809716599190283,0.894736842105263,0.801518218623482,0.902834008097166,"sensitivity","training","STBBI"
"model7",0.8582995951417,0.817813765182186,0.898785425101215,0.805668016194332,0.906882591093117,"sensitivity","training","STBBI"
"model8",0.8582995951417,0.813765182186235,0.898785425101215,0.805668016194332,0.906882591093117,"sensitivity","training","STBBI"
"model9",0.8582995951417,0.813765182186235,0.898785425101215,0.801619433198381,0.906882591093117,"sensitivity","training","STBBI"
"ref",0.854251012145749,0.805668016194332,0.898785425101215,0.797570850202429,0.906882591093117,"sensitivity","training","STBBI"
"model1",0.283018867924528,0.169811320754717,0.39622641509434,0.150943396226415,0.415094339622642,"specificity","training","STBBI"
"model2",0.320754716981132,0.207547169811321,0.433962264150943,0.169811320754717,0.452830188679245,"specificity","training","STBBI"
"model3",0.320754716981132,0.207547169811321,0.433962264150943,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model4",0.320754716981132,0.226415094339623,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model5",0.339622641509434,0.226415094339623,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model6",0.339622641509434,0.226415094339623,0.452830188679245,0.207547169811321,0.471698113207547,"specificity","training","STBBI"
"model7",0.358490566037736,0.226415094339623,0.471698113207547,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"model8",0.339622641509434,0.244245283018868,0.452830188679245,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"model9",0.358490566037736,0.226415094339623,0.471698113207547,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"ref",0.320754716981132,0.207547169811321,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model1",0.72893591016729,0.72893591016729,0.72893591016729,0.72893591016729,0.72893591016729,"auc","training","STBBI"
"model2",0.783095256282943,0.783095256282943,0.783095256282943,0.728477580016805,0.783095256282943,"auc","training","STBBI"
"model3",0.805400656939882,0.799671530058819,0.808150637842793,0.759032923382477,0.808150637842793,"auc","training","STBBI"
"model4",0.819303338171263,0.801920785272324,0.82720953326713,0.79466809258269,0.827438698342373,"auc","training","STBBI"
"model5",0.822931785195936,0.802073561989153,0.834008097165992,0.794815140172638,0.83469559239172,"auc","training","STBBI"
"model6",0.81934153235047,0.797948590634787,0.831949812848522,0.788316400580552,0.83378084179971,"auc","training","STBBI"
"model7",0.826407455503781,0.803032617829043,0.840157360018333,0.793558551676725,0.842601787487587,"auc","training","STBBI"
"model8",0.824765105797876,0.799972882132763,0.839783820945688,0.789357191963945,0.842219845695516,"auc","training","STBBI"
"model9",0.828202581926514,0.801538843480254,0.844244137193492,0.792681995263922,0.846919639446948,"auc","training","STBBI"
"ref",0.810174929340769,0.77372927965778,0.83232755328088,0.761731342143457,0.836379955694752,"auc","training","STBBI"
"model1",0.883720930232558,0.844961240310077,0.922480620155039,0.837209302325581,0.926356589147287,"sensitivity","training","HCV"
"model2",0.887596899224806,0.848624031007752,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model3",0.887596899224806,0.848624031007752,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model4",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model5",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model6",0.887596899224806,0.848837209302326,0.922480620155039,0.84108527131783,0.930232558139535,"sensitivity","training","HCV"
"model7",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model8",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.93032945736434,"sensitivity","training","HCV"
"model9",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"ref",0.887596899224806,0.848837209302326,0.922480620155039,0.84108527131783,0.926356589147287,"sensitivity","training","HCV"
"model1",0.285714285714286,0.166666666666667,0.428571428571429,0.142857142857143,0.476190476190476,"specificity","training","HCV"
"model2",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model3",0.30952380952381,0.19047619047619,0.428571428571429,0.142857142857143,0.476190476190476,"specificity","training","HCV"
