model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model1,0.831967213,0.782786885,0.881147541,0.774590164,0.889344262,sensitivity,training,STBBI
model2,0.840163934,0.795081967,0.885245902,0.782786885,0.893442623,sensitivity,training,STBBI
model3,0.844262295,0.795081967,0.885245902,0.778688525,0.893545082,sensitivity,training,STBBI
model4,0.844262295,0.795081967,0.889344262,0.782786885,0.897540984,sensitivity,training,STBBI
model5,0.844262295,0.795081967,0.889344262,0.782786885,0.897540984,sensitivity,training,STBBI
model6,0.848360656,0.803278689,0.889344262,0.790983607,0.897540984,sensitivity,training,STBBI
model7,0.848360656,0.803278689,0.889344262,0.790983607,0.901639344,sensitivity,training,STBBI
model8,0.848360656,0.803278689,0.893442623,0.786885246,0.901639344,sensitivity,training,STBBI
model9,0.848360656,0.799180328,0.893442623,0.790983607,0.901639344,sensitivity,training,STBBI
ref,0.848360656,0.799180328,0.889344262,0.786885246,0.897643443,sensitivity,training,STBBI
model1,0.285714286,0.178571429,0.392857143,0.160714286,0.410714286,specificity,training,STBBI
model2,0.303571429,0.178571429,0.410714286,0.160714286,0.428571429,specificity,training,STBBI
model3,0.321428571,0.214285714,0.428571429,0.196428571,0.446428571,specificity,training,STBBI
model4,0.321428571,0.214285714,0.446428571,0.196428571,0.464285714,specificity,training,STBBI
model5,0.321428571,0.214285714,0.429553571,0.178571429,0.464732143,specificity,training,STBBI
model6,0.339285714,0.232142857,0.464285714,0.214285714,0.482142857,specificity,training,STBBI
model7,0.339285714,0.232142857,0.464285714,0.214285714,0.482142857,specificity,training,STBBI
model8,0.339285714,0.232142857,0.464285714,0.214285714,0.482142857,specificity,training,STBBI
model9,0.339285714,0.232142857,0.464285714,0.214285714,0.482142857,specificity,training,STBBI
ref,0.339285714,0.232142857,0.446428571,0.196428571,0.482142857,specificity,training,STBBI
model1,0.714432084,0.714432084,0.714432084,0.714432084,0.714432084,auc,training,STBBI
model2,0.762770785,0.744254977,0.769650176,0.699026639,0.771187061,auc,training,STBBI
model3,0.782347775,0.75248024,0.790324941,0.739819965,0.792300937,auc,training,STBBI
model4,0.790507904,0.764848507,0.804303279,0.751754611,0.806427474,auc,training,STBBI
model5,0.791569087,0.766466628,0.805478264,0.757236168,0.807816159,auc,training,STBBI
model6,0.806389052,0.784063598,0.818318208,0.776156323,0.820149663,auc,training,STBBI
model7,0.812975703,0.789117389,0.825124415,0.779665544,0.827029054,auc,training,STBBI
model8,0.810816745,0.788271736,0.823697307,0.779420375,0.825307377,auc,training,STBBI
model9,0.811841335,0.787576478,0.82753952,0.778423229,0.829956455,auc,training,STBBI
ref,0.803717799,0.772349971,0.825494365,0.76284214,0.82959053,auc,training,STBBI
model1,0.87890625,0.8359375,0.9140625,0.82421875,0.92578125,sensitivity,training,HCV
model2,0.87890625,0.83984375,0.91796875,0.83203125,0.92578125,sensitivity,training,HCV
